PH,lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
15,1,2025-10-30,11,33.550962642638375,28.597977622778277,19.50721117583368,100.0,0,0,180,0.05,1e-06,0.01,0.3238010238730269,18.661236757250926,3.161365347986158
15,2,2025-10-31,11,16.293109628858257,11.268908505455478,7.303704249942368,87.36842105263159,36,0,285,0.005,1.4007533726654517e-05,0.01,0.5,21.99482669799336,2.0
15,3,2025-11-01,11,33.975974883407304,15.18090892167187,9.59838148334162,75.08771929824562,71,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
15,4,2025-11-02,11,19.604295810103977,12.870770173654932,7.654558080601322,68.42105263157895,90,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
15,5,2025-11-03,11,15.053717306130642,10.262220172412485,6.166075377408708,72.63157894736842,78,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
15,6,2025-11-04,11,17.222092305910287,10.077956928537748,5.941873573037327,79.2982456140351,59,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
15,7,2025-11-05,11,18.932715698882163,10.159286102798104,5.394677306372821,64.56140350877193,101,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
15,8,2025-11-06,11,12.842849389769908,9.456070680425272,6.141508249717616,94.03508771929825,17,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
15,9,2025-11-07,11,18.124194951447596,12.052226308457204,7.059531535835024,73.68421052631578,75,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
15,10,2025-11-08,11,11.643494893262803,8.674492773286962,5.24219216488527,79.2982456140351,59,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
15,11,2025-11-09,11,12.595574027993385,9.064474249977346,5.906230563586055,88.42105263157895,33,0,285,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
15,12,2025-11-10,11,6.897242901189418,6.109564141136651,4.643991240882659,100.0,0,0,73,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
30,1,2025-10-30,11,46.637760716897326,39.92290161905107,27.114069209062542,100.0,0,0,177,0.05,1e-06,0.01,0.3238010238730269,18.661236757250926,3.161365347986158
30,2,2025-10-31,11,25.994726471418687,17.63304856394951,11.187717461553179,89.36170212765957,30,0,282,0.005,1.4007533726654517e-05,0.01,0.5,21.99482669799336,2.0
30,3,2025-11-01,11,38.8141981996691,21.619546941216814,13.274698464482732,75.88652482269504,68,0,282,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
30,4,2025-11-02,11,25.519920650971343,18.810926759568115,11.052319520376228,70.92198581560284,82,0,282,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
30,5,2025-11-03,11,22.224454717405035,16.25182728998247,9.568752938758598,81.56028368794325,52,0,282,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
30,6,2025-11-04,11,21.892015153750275,15.125889136908095,8.826718430926299,80.49645390070921,55,0,282,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
30,7,2025-11-05,11,23.50948632906623,14.674731110372871,7.6935757847703234,67.02127659574468,93,0,282,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
30,8,2025-11-06,11,18.966509620385892,14.578286389800542,9.460353804646802,93.97163120567376,17,0,282,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
30,9,2025-11-07,11,25.12003610836387,17.79272686038926,10.261334134310035,77.30496453900709,64,0,282,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
30,10,2025-11-08,11,18.18962558097817,13.819968883317957,8.297495244312834,84.04255319148936,45,0,282,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
30,11,2025-11-09,11,20.90469530905958,15.064406605242198,9.690521849637046,89.71631205673759,29,0,282,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
30,12,2025-11-10,11,10.507362356529153,9.558057062624522,7.241541553426847,100.0,0,0,70,0.005,0.0001,0.5,0.5,20.291016680391216,2.0
45,1,2025-10-30,11,51.35926163323841,43.79452901225583,29.60320361394163,100.0,0,0,174,0.05,1e-06,0.01,0.3238010238730269,18.661236757250926,3.161365347986158
45,2,2025-10-31,11,33.758592260651824,22.64115565421144,14.027170117917548,89.96415770609319,28,0,279,0.005,1.4007533726654517e-05,0.01,0.5,21.99482669799336,2.0
